no,content
1,"대구 여행코스 순서는 달성공원,수성못, 대구수목원 순.. 모두 도심속의 이쁜... 스맛폰이 여행에 엄청 도움이 된다.. 도로 건너면.. 예쁜 수성못 전망대.. 호수를 둘러싼..."
2,함께 대구여행 기차로 여행을 다녀왔다 매일은 아니더라도 이렇게 한번씩... 아이들에게 대구여행 대구아쿠아리움은 좋아하고 인기있는 곳이라는 증거니...
3,대구여행~~ 이틀째~~ 아이들 학교 재량휴업일 이틀째~~~ 다들 학교 갔는데 짱가남매만 돌아다니니 보는 사람마다 이 아이들은 왜 학교를 안 갔냐며 ㅋㅋㅋㅋ 그래도...
4,"대구 에어비앤비, 반월당역 근처 대구여행 숙소 추천 여행이라고 하면 해외여행을 떠올리게 되지만, 가볍게 다녀올 수 있는 국내여행도 삶의 활력이 되는 것 같... m.blog...."
5,곁에 두고 반복해서 일고 싶어 구입했습니다. 조금 특별한 대구여행을 하고 싶다면 대구 독립서점 여행 어떠세요? 늦가을 나에게 주는 책 선물도 좋고요.
6,5월의 이른 대프리카에도 시원함을 느낄 수 있는 대구여행명소! 남녀노소 누구나... 두 번째는 최근에 대구 ‘아이니 테마파크’에서 달성군과 협약을 하여 동굴 내부에...
7,대구여행 3박4일@ 대구맛집 뿌셔뿌셔 올초에 다녀 온 대구여행 포스팅! 이제서야!여행이라고 쓰고 그냥 숨 돌릴 틈 없이 먹고만 왔다고 읽습니다 근데 나는 365일...
8,ㅋㅋㅋ 대구로 떠나기 전 한 컷 여유롭게 영천 여행을 즐기고 여유롭게 대구에... 있어서 여행 온 기분이 배가 되었다. 대구 여행은 기회가 되면 할 수 있을 것 같지만...
9,이지만 대구에는 여행을 온 것이니 이 도시의 지하철을 체험해보기루. 대구... 늘 대구는 영생덕.. 이라거 말한다. 이번 대구 여행에서 식사 하이라이트가 바로 영생덕...
10,대봉동 맛집 대구여행 온다면 코레아경양식 가보세요 두 번째로 방문해 본... 대구 여행 오시면 김광석길 맛집 코레아경양식 가셔서 포식하세요~! * 위 포스팅은...
11,대구 여행 한국 관광 100선 대구 근대골목 투어 야경코스 오랜만에 떠난 대구여행... 있어 대구 근대로의 여행을 재미있게 이야기해주고 있었습니다. 대구역에 도착을...
12,대구여행 대구 중구 근대 골목투어 근대路의여행 청라언덕 제일교회 90계단 3.1운동길 계산성당 대구여행의 시작은 대구 근대路의여행으 로 청라언덕에서 시작합니다...
13,대구여행 아이들과함께 네이처파크 가을나들이 19.10.27.일요일 유미네 아들딸 2명과 개똥2 조카 1명 총 5명이서 할로윈축제도 있다고해서 대구여행 아이들과함께...
14,"#대구여행 #대구숙박 #대구숙소 #대구에어비앤비 얼마 전, 타지에서 손님이... 전 대구사람ㅋㅋ) https://www.airbnb.co.kr/c/07b39d1?currency=KRW 첫 여행 예약 시 최대 \44000..."
15,오후였습니다 [대구여행] 구름을 속을 달리는 대구 앞산 케이블카 with 짱가남매 2019.10.7짱가남매 학교 재량 휴업일~대구 앞산 케이블카 타고 전망대 가기가...
16,"여름 휴가철을 맞아 떠나온 1박2일 대구 여행! ""대구 신청사 최적지 달성 화원! "" 이라는 응원 문구가 여기저기에서 눈에 띄였어요. "" 백년의 미래 화원 "" 대구 달성..."
17,대구 여행 칠성종합시장 지난 6월 14일부터 15일까지 1박 2일로 우리나라에서 4번째로 인구가 많은 대구시로 여행을 다녀오면서 오늘 소개하는 칠성종합시장을 시작으로...
18,"대구 여행 추천할 만 곳을 알려달라는 부탁을 받으면, 그 여행 오는 사람의... 점에서, 대구 스파밸리를 추천했다. 사실 실내와, 실외가 따로 있어서 여름에는 야외..."
19,들러볼만한 대구여행 명소이자 숙박시설을 소개합니다. 바로 대구 달성군의 자랑... 이번 여름가족여행은 비슬산 자연휴양림 콘도로 오셔요~ 마지막으로 단체나...
20,대구먹거리 @대구여행 마지막날 사진 정리하면서 느낀건데진짜 많이도 먹었당... 전날 돼지곱창도 좋았지만대구 왔으면 막창 구이를 먹어야지요! 이것땜에 여행온거!...
21,"갑자기 떠난 짧은 대구 여행중 만족스럽게 이용한 대구 에어비앤비 추천 후기 끝 첫 여행에서 \44,000을 할인받으세요! Jo님이 추천하는 에어비앤비에 가입하시고 전..."
22,마시고 대구의 마지막 여행을 끝마쳤다. 정말 먹기 위해 간 이번 대구여행은 하마터면 음식으로 망할뻔 했는데 다행히 잘 마무리 지어 좋은 추억이 생겼다. 또다시 먹기...
23,해외에 오래 거주했고 여행을 좋아해서 호텔이나 에어비앤비 같은... 대구 여행 숙소 추천 대구 에어비앤비 Airbnb 인테리어 완 전 예 쁨 + 위 치 좋 음...
24,대구여행 신세계 아쿠아리움 강추:-) 요즘엔 대구에 맛집이 많아져 대구 여행오시는 분들이 많더라구용~ㅋㅋ 여행오시면 신세계 아쿠아리움 꼭 들려서 구경해보세용...
25,글구 버스타고 동대구역으로 가서 케이티엑스를 타고 다시 집으로 갔다네~ 많이 먹고 잼났던 대구여행 끝!!! 다음엔 광역시투어도 괜찮은거같다 중국도 가고싶고~~
26,너무나도 짧았던 대구여행. 사랑하는 쑴니와의 여행이여서 더 재미있었고! 우리의 여행은 뭐 항상 재미있찌~! 대구라고 해서 엄청 더울 줄 알았는데 오히려 광주가 더...
27,대구여행을 다녀왔던 날 - 마침 현풍시장 오일장이더라구요~ 현풍 오일장은 매월... 17:30~20:00 대구시 신청사 유치를 위한 플랜카드도 걸려 있네요 먼저 왼쪽으로 가...
28,실천하길 잘했어요 ㅎ #꽃길사진관 #이색사진 #대구여행 #대구데이트 #대구사진관 #친절한사진관 #대구의상대여 #대구커플사진 #대구개화기의상 #대구생활한복...
29,많아진 것 같았어요~~ 구름을 뚫고 내려오니 그제서야 대구 시내가 보입니다 기억에 남을 구름 속 케이블카~~^^ 짱가남매의 기억에도 즐거운 여행이었길 바래봅니다~
30,여름밤 #대구여행 #2019대구문화재야행 #근대로의여행 #서문시장 #야시장 주말에 대구갈일이 있어서 갈만한데가 있나 찾아보다 문화재야행을 발견했다 근대골목은 이미...
31,언니의 결혼식을 축하해주기위해 정말 몇년만인지 기억도 안나는 대구로 여행을... 히히 대구 맛집들은 하나같이 맛있어 ..... ♥ 짧은 1박2일 일정이였던 대구 여행...
32,"사장님께 맛집도 추천받아서 맛점까지하고왔답니당ㅎㅎ 대구여행 준비하고계시거나, 대구에서 우정사진 찍고싶으신분들은 꽃길사진관 추천드릴께요 많은 #대구사진관..."
33,"누님들이 대구 한번 놀러오라고 가볍게 하신 말씀에 혹하여, 1박 대구여행을... 강릉여행 후기.jpge 장칼국수 - 3,000 -> 가성비 나쁘지 않더라고 꼬막비빔밥 -> 그냥저냥...."
34,"추억이었다며, 대구는 갈 때마다 맛있는 음식 잔뜩 먹고 오는 거 같아서 넘 만족스러웠다 :) 역시 대구여행-카페투어=0 ㅎㅎㅎㅎㅎㅎ 캐나다에서 돌아오면 또 맛난 거..."
35,"생소하더라도 노래 따라 조금 색다른 여행은 어떤가요? 노래 따라 마음 따라 떠나는, 대구 여행~ 출발합니다! 기억나 처음 만난 날 여름날에 대구 안에서 동성로라던가..."
36,대구 여행 http://9594jh.blog.me/185454137 아래 채널들 구독 고맙습니다 (영촌세상) (풍경있는교실) (교실밖여행) 적당한 거리에서 만난 비슬산의 아름다움 비슬산은 대구의...
37,주소 : 대구 중구 큰장로26길 45 01 | 대구여행 가볼만한곳 서문시장야시장 대구 서문시장 모습입니다. 위사진처럼 큰 간판이 있는 곳 부터 서문시장야시장이...
38,[대구여행] 집 앞에 똑똑하고 찾아온 가을이.. 대구 월곡역사공원.. ㅋㅋㅋㅋ.. 하다 하다.. 이제 사는 동네까지 포스팅하게 될 줄이야.. . 멋진 가을을 담기 위해 집을...
39,기차 타고 오는 내일로나 대구로 여행을 오는 분들은 대구여행에서 꼭 빠지지 않고 대구에서 유명한 빵집들을 방문하시는데요. 대구 유명 빵집들 본점이 모두 대구...
40,"그래서 이번에는 여름휴가를 맞아 가족, 친구들과 떠날 수 있는 여행 코스를... 1박2일 대구여행]! 함께 떠나볼까요? HUG 프렌즈가 추천하는 대구 1박2일 코스는 1일차는..."
41,"대구인들이라면 이미 다~들 아시겠지만, 타 지역민이라면 대구여행추천을 많이들 물어보세요. 오늘은 6월, 대구여행 추천명소! 달성군의 하늘 아래 첫동네, 아름다운..."
42,계명대한학촌 미스터션샤인 촬영지 대구여행 가볼만한곳 대구 계명대학교 성서캠퍼스 계명한학촌/053 - 580 - 6981 대구광역시 달서구 달구벌대로 1095 관람일 : 평일(월~금)...
43,"대구 여행 여긴 어떨까요? 대구에 살고 있는 여행을 좋아하는 사람입니다~ 여행을 좋아하다 보니, 여행을 많이 다녔고 그러다 보니 내가 사는 대구도 여행하기 좋다는..."
44,대구녹색소비자연대에서 주관하는 수성못 걷기가 10월 17일 목요일 10시 ~ 13시까지... 대구에 살면서도 처음으로 와 보는 거리다. 말 그대로 골목의 담장을 이용하여 시와...
45,많다기에 #대구아이와가볼만한곳 네이처파크로 고고싱 해보아요. 다행히 날씨는 쾌청하니 좋았던 날! ▼ [대구여행] 네이처파크 가는길 ▼ 주말여행이라면 인원이...
